GBE_ID	GBE_short_name	pops	num_pops	gene	num_variants_pav	num_variants_ptv	log_10_BF_study_similar_var_independent_sigma_m_mpc_pli_pav	log_10_BF_study_similar_var_similar_sigma_m_mpc_pli_pav	log_10_BF_study_similar_var_similar_sigma_m_mpc_pli_ptv
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	OCA2	39		69.9	62.6	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	CENPBD1	17	6.0	31.8	22.6	16.4
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	TCF25	34		33.4	42	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	MC1R	23	6.0	39.4	42.9	14.6
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	VPS9D1	18		21.1	16.5	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	ADAMTS12	12		17.6	15.6	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	FANCA	45		19.2	24.1	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	ACSF3	17		15.9	0.45	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	SPATA33	6	6.0	11.3	11.3	11.3
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	SPG7	16		14.9	5.05	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	SLC24A5	6		15.5	15.5	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	GAS8	12		13.3	2.87	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	CDK10	6		8.98	8.98	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	ZNF778	56		6.93	11.9	nan
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	SPIRE2	11	5.0	6.27	4.31	-0.171
BIN_FC10001727	Ease of skin tanning (Get very tanned)	african_non_british_white_others_related_s_asian_white_british	6	ERCC4	33		4.85	5.15	nan
BIN_FC10002267	Use of sun/uv protection (Never/rarely)	african_non_british_white_others_related_s_asian_white_british	6	ABCA13	150	5.0	4.8	5.74	-0.34
BIN_FC10002267	Use of sun/uv protection (Never/rarely)	african_non_british_white_others_related_s_asian_white_british	6	TCF25	34		4.21	6.17	nan
BIN_FC10003571	Back pain for 3+ months	african_non_british_white_others_related_s_asian_white_british	6	CARD8	38		3.58	7.4	nan
BIN_FC10006152	Hayfever allergic rhinitis or eczema	african_non_british_white_others_related_s_asian_white_british	6	BTNL2	59	12.0	53.5	42.3	13.1
BIN_FC10006152	Hayfever allergic rhinitis or eczema	african_non_british_white_others_related_s_asian_white_british	6	IL33	15	11.0	9.01	8.09	8.16
BIN_FC10006152	Hayfever allergic rhinitis or eczema	african_non_british_white_others_related_s_asian_white_british	6	FLG	165	20.0	4.28	2.95	6.6
BIN_FC10006152	Hayfever allergic rhinitis or eczema	african_non_british_white_others_related_s_asian_white_british	6	HLA-DQB1	12		9.28	7.06	nan
BIN_FC10006152	Hayfever allergic rhinitis or eczema	african_non_british_white_others_related_s_asian_white_british	6	C6orf15	12		5.48	5.18	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	OCA2	28		328	405	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	SLC12A9	24	4.0	31.6	24.9	2.93
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	HERC2	8		18.1	19.1	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	TPCN2	12		22.3	23.3	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	IGHMBP2	20		19.3	12.2	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	PADI3	32		6.31	2.63	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	GAS8	8		6.6	4.75	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	SPG7	12		6.01	4.08	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	SLC45A2	12		3.25	5.17	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	TYRP1	20		4.48	6.73	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	TCF25	24		2.85	5.77	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_others_related_white_british	4	TYR	20	4.0	2.23	5.2	1.03
BIN_FC1002247	Hearing difficulty	non_british_white_others_related_s_asian_white_british	5	SLC26A5	10		7.46	8.03	nan
BIN_FC1002247	Hearing difficulty	non_british_white_others_related_s_asian_white_british	5	GJB2	55	9.0	6.9	7.1	6.49
BIN_FC1002306	Weight change compared with 1 year ago	african_non_british_white_others_related_s_asian_white_british	6	STARD9	120		5.21	4.96	nan
BIN_FC1006179	Fish oil (including cod liver oil)	african_non_british_white_others_related_s_asian_white_british	6	OR6K6	58		3.04	5.34	nan
BIN_FC20001428	Spread type: Butter/spreadable butter	african_non_british_white_others_related_s_asian_white_british	6	ABCA13	171	10.0	3.63	6.46	-0.412
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	OCA2	52		59.4	48.3	nan
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	MC1R	28	6.0	46.4	51	22.5
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	SPG7	16		9.15	2.55	nan
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	ACSF3	17		9.24	0.0758	nan
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	GAS8	12		7.85	3.95	nan
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	ZNF778	56		6.63	8.59	nan
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	CENPBD1	17	6.0	5.78	2.71	2.06
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	ZNF276	16		5.33	3.71	nan
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	FANCA	55	5.0	5	5.85	-0.09
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	TCF25	34		5.96	7.46	nan
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	VPS9D1	22		5.32	6.04	nan
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	SPATA33	6	6.0	5.37	5.37	5.37
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	african_non_british_white_others_related_s_asian_white_british	6	SLC24A5	6		6.53	6.53	nan
BIN_FC20002267	Use of sun/uv protection (Sometimes)	african_non_british_white_others_related_s_asian_white_british	6	OCA2	52		13.6	13.6	nan
BIN_FC2001747	Hair colour (natural, before greying) red	non_british_white_related_white_british	3	MC1R	12	3.0	423	447	232
BIN_FC2001747	Hair colour (natural, before greying) red	non_british_white_related_white_british	3	ACSF3	6		103	65.4	nan
BIN_FC2001747	Hair colour (natural, before greying) red	non_british_white_related_white_british	3	GAS8	3		82.9	82.9	nan
BIN_FC2001747	Hair colour (natural, before greying) red	non_british_white_related_white_british	3	CENPBD1	9	3.0	60	8.24	24.7
BIN_FC2001747	Hair colour (natural, before greying) red	non_british_white_related_white_british	3	PIEZO1	45		16.7	2.55	nan
BIN_FC2001747	Hair colour (natural, before greying) red	non_british_white_related_white_british	3	ZC3H18	15		9.96	3.2	nan
BIN_FC2001747	Hair colour (natural, before greying) red	non_british_white_related_white_british	3	APRT	3		9.52	9.52	nan
BIN_FC2001747	Hair colour (natural, before greying) red	non_british_white_related_white_british	3	ZNF778	9		8.23	17.2	nan
BIN_FC2001747	Hair colour (natural, before greying) red	non_british_white_related_white_british	3	PABPN1L	9		5.87	0.89	nan
BIN_FC20020117	Previous Drinker	non_british_white_others_related_white_british	4	RIPOR2	28		2.78	6.44	nan
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	african_non_british_white_others_related_s_asian_white_british	6	OCA2	54		45.2	43.5	nan
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	african_non_british_white_others_related_s_asian_white_british	6	CENPBD1	17	6.0	11.2	8.76	6.14
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	african_non_british_white_others_related_s_asian_white_british	6	SPG7	16		10.3	4.82	nan
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	african_non_british_white_others_related_s_asian_white_british	6	MC1R	28	6.0	10.2	10.7	2.38
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	african_non_british_white_others_related_s_asian_white_british	6	TCF25	34		8.8	12.6	nan
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	african_non_british_white_others_related_s_asian_white_british	6	VPS9D1	18		8.17	6.9	nan
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	african_non_british_white_others_related_s_asian_white_british	6	GAS8	12		5.42	2.54	nan
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	african_non_british_white_others_related_s_asian_white_british	6	FANCA	45		5.12	7.15	nan
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	african_non_british_white_others_related_s_asian_white_british	6	ZNF778	56		3.56	5.86	nan
BIN_FC30006160	Leisure/social activities (attend pub or social club in once a week or more often)	non_british_white_others_related_white_british	4	ABCA13	116	4.0	2.85	5.29	-0.436
BIN_FC3001747	Hair colour (natural, before greying) light brown	non_british_white_others_related_white_british	4	ADAMTS12	8		13.9	15.1	nan
BIN_FC3001747	Hair colour (natural, before greying) light brown	non_british_white_others_related_white_british	4	MC1R	24	4.0	5.4	5.97	3.16
BIN_FC30020117	Current Drinker	african_non_british_white_others_related_s_asian_white_british	6	RIPOR2	68		3.65	5.7	nan
BIN_FC3002247	Hearing difficulty and Deafness	non_british_white_others_related_s_asian_white_british	5	GJB2	55	9.0	7.88	8	7.43
BIN_FC3002247	Hearing difficulty and Deafness	non_british_white_others_related_s_asian_white_british	5	SLC26A5	10		7.5	8.07	nan
BIN_FC40001428	Spread type: Other type of spread/margarine	african_non_british_white_others_related_s_asian_white_british	6	ABCA13	171	10.0	7.76	10.3	-0.601
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	OCA2	36		178	198	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	MC1R	20	4.0	151	155	67.8
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	CENPBD1	12	4.0	38.2	19.2	17.1
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	ACSF3	12		34.9	6.66	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	GAS8	8		32.4	18.6	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	TCF25	24		29.9	46.4	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	SPG7	12		22.3	9.97	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	SPATA33	4	4.0	18.3	18.3	18.3
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	FANCA	32		17.1	29	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	ERCC4	28		17.6	21.3	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	VPS9D1	12		14.5	12.5	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	ZNF778	40		12.6	22.9	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	CDK10	4		9.37	9.37	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	PRDM7	12	4.0	4.76	5.52	4.59
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	HERC2	16		5.74	4.96	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	ZNF276	12		5.06	5.18	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	CDT1	12		5.05	3.21	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	SPIRE2	4		5.02	5.02	nan
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	TYR	20	4.0	5.38	10.1	1.83
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	non_british_white_others_related_white_british	4	ANKRD11	40		3.83	7.85	nan
BIN_FC40002267	Use of sun/uv protection (Always)	non_british_white_others_related_white_british	4	OCA2	40		13.1	14.2	nan
BIN_FC40002267	Use of sun/uv protection (Always)	non_british_white_others_related_white_british	4	MC1R	20	4.0	7.59	8.28	2.9
BIN_FC40002267	Use of sun/uv protection (Always)	non_british_white_others_related_white_british	4	ABCA13	116	4.0	7.07	7.21	-0.478
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	OCA2	46		133	87	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	MC1R	24	5.0	66.7	73.3	30.5
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	CENPBD1	14	5.0	33.7	18.8	14.2
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	SLC12A9	33	4.0	20.9	11.6	0.493
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	GAS8	10		21.2	10.9	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	ACSF3	15		20.1	1.14	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	VPS9D1	19		16.3	17.8	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	FANCA	47	4.0	14.9	16.4	-0.184
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	HERC2	19		15.6	5.69	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	ZNF778	48		12.6	16.2	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	TCF25	29		12	15.3	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	SPG7	14		11.3	3.68	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	TPCN2	19		12.5	9.17	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	SPATA33	5	5.0	7.98	7.98	7.98
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	ADAMTS12	10		7.28	6.92	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	CDK10	5		8.32	8.32	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	IGHMBP2	28		9.5	4.19	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	MITF	8		6.77	6.03	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	SPIRE2	10	5.0	6.98	7.57	1.42
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_related_s_asian_white_british	5	PABPN1L	19		5.01	3.29	nan
BIN_FC40020489	Often felt loved as a child	non_british_white_others_related_white_british	4	ABCA13	100	4.0	6.51	5.44	0.22
BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	african_non_british_white_others_related_s_asian_white_british	6	RRAS	10	4.0	7.83	7.38	0.306
BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	african_non_british_white_others_related_s_asian_white_british	6	SLC9A3R2	17		8.55	3.77	nan
BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	african_non_british_white_others_related_s_asian_white_british	6	DBH	52	5.0	7.42	5.65	1.36
BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	african_non_british_white_others_related_s_asian_white_british	6	NR3C2	9		5.92	5.42	nan
BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	african_non_british_white_others_related_s_asian_white_british	6	ATG9B	44		5.77	3.5	nan
BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	african_non_british_white_others_related_s_asian_white_british	6	AK9	42		4.54	5.1	nan
BIN_FC4006152	Asthma diagnosed by doctor	non_british_white_others_related_white_british	4	IL33	12	8.0	14.9	10.7	10.5
BIN_FC4006152	Asthma diagnosed by doctor	non_british_white_others_related_white_british	4	FLG	100	12.0	7.92	9.01	9
BIN_FC4006152	Asthma diagnosed by doctor	non_british_white_others_related_white_british	4	BTNL2	32	4.0	8.92	7.01	2.09
BIN_FC5001747	Hair colour (natural, before greying) black	african_non_british_white_others_related_s_asian_white_british	6	SLC24A5	6		25.4	25.4	nan
BIN_FC5001747	Hair colour (natural, before greying) black	african_non_british_white_others_related_s_asian_white_british	6	ADAMTS12	12		11.6	11.5	nan
BIN_FC5001747	Hair colour (natural, before greying) black	african_non_british_white_others_related_s_asian_white_british	6	OCA2	18		5.95	2.06	nan
BIN_FC5001747	Hair colour (natural, before greying) black	african_non_british_white_others_related_s_asian_white_british	6	TCF25	23		3.82	6.04	nan
BIN_FC5002395	Male pattern baldness severity 3	non_british_white_others_related_s_asian_white_british	5	WNT10A	18	4.0	4.26	5.17	4.03
BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	african_non_british_white_others_related_s_asian_white_british	6	BTNL2	58	12.0	57.1	44.7	13.8
BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	african_non_british_white_others_related_s_asian_white_british	6	IL33	15	11.0	11.6	10.3	10.3
BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	african_non_british_white_others_related_s_asian_white_british	6	FLG	155	16.0	5.54	3.83	7.64
BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	african_non_british_white_others_related_s_asian_white_british	6	HLA-DQB1	12		10.8	8.42	nan
BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	african_non_british_white_others_related_s_asian_white_british	6	C6orf15	12		6.02	5.57	nan
BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	african_non_british_white_others_related_s_asian_white_british	6	CDSN	29		5.03	0.455	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	MC1R	24	5.0	160	167	77.9
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	OCA2	43		165	168	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	GAS8	10		51.4	30.7	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	CENPBD1	14	5.0	40.9	14.2	13.2
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	ACSF3	15		39.3	7.78	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	TCF25	29		17.8	22.7	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	SLC12A9	33	4.0	15.9	9.64	1.49
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	FANCA	38		16.7	21.4	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	ZNF778	48		12.6	18.8	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	VPS9D1	15		11.2	14.7	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	SPATA33	5	5.0	8.68	8.68	8.68
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	SLC24A5	5		9.55	9.55	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	PIEZO1	95		7.81	-0.424	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	CDK10	5		8.07	8.07	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	HERC2	19		7.61	6.38	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	TPCN2	19		10.3	6.21	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	PABPN1L	19		6.41	5.3	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	IGHMBP2	28		7.33	2.24	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	SLC45A2	23	4.0	4.72	6.16	3.4
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_s_asian_white_british	5	APRT	5		5.28	5.28	nan
BIN_FC7006179	Fish oil supplements	african_non_british_white_others_related_s_asian_white_british	6	OR6K6	58		2.77	5.18	nan
cancer1003	Skin cancer	non_british_white_others_related_white_british	4	OCA2	16		7.39	7.9	nan
cancer1060	Non-melanoma skin cancer	non_british_white_others_related_white_british	4	OCA2	16		5.96	6.61	nan
FH1001	Lung cancer (FH)	african_non_british_white_others_related_s_asian_white_british	6	BRCA2	342	24.0	7.37	7.32	7.21
FH1002	Breast cancer (FH)	non_british_white_others_related_white_british	4	PALB2	20	4.0	5.15	5.63	4.78
FH1044	Prostate cancer (FH)	non_british_white_others_related_white_british	4	HOXB13	4		10	10	nan
FH1065	High BP (FH)	african_non_british_white_others_related_s_asian_white_british	6	DBH	56	5.0	4.58	5.18	1.39
FH1220	Diabetes (FH)	african_non_british_white_others_related_s_asian_white_british	6	PAM	18		7.24	7.56	nan
FH1220	Diabetes (FH)	african_non_british_white_others_related_s_asian_white_british	6	ANKH	11		6.39	4.69	nan
HC1021	TTE vasomotor and allergic rhinitis	non_british_white_others_related_white_british	4	BTNL2	32	4.0	10.3	10.8	3.57
HC1021	TTE vasomotor and allergic rhinitis	non_british_white_others_related_white_british	4	MAST4	24	4.0	2.85	5.18	0.881
HC1036	TTE asthma	non_british_white_others_related_s_asian_white_british	5	IL33	14	10.0	13.3	8.82	8.58
HC1036	TTE asthma	non_british_white_others_related_s_asian_white_british	5	FLG	128	14.0	6.09	5.8	7.25
HC1036	TTE asthma	non_british_white_others_related_s_asian_white_british	5	BTNL2	39	5.0	7.94	4.89	1.45
HC1036	TTE asthma	non_british_white_others_related_s_asian_white_british	5	TNXB	81		4.55	5.06	nan
HC1083	TTE gastric ulcer	related_white_british	2	ABCA13	40	2.0	2.17	6.26	-0.0128
HC1113	TTE haemorrhoids and perianal venous thrombosis	non_british_white_others_related_white_british	4	TTN	548		-0.317	5.48	nan
HC1125	TTE cholelithiasis	non_british_white_others_related_white_british	4	ABCB4	16		5.58	7.89	nan
HC1148	TTE atopic dermatitis	related_white_british	2	FLG	22	4.0	5.73	4.33	6.55
HC1158	TTE other dermatitis	non_british_white_others_related_white_british	4	FLG	100	12.0	16.1	11.9	16.6
HC1159	TTE psoriasis	related_white_british	2	EGFL8	2	2.0	33.1	33.1	33.1
HC1159	TTE psoriasis	related_white_british	2	HLA-C	6	2.0	18.3	7.12	-0.177
HC1159	TTE psoriasis	related_white_british	2	ZSCAN12	4	2.0	7.54	6.86	7.55
HC1159	TTE psoriasis	related_white_british	2	ZKSCAN3	2	2.0	7.2	7.2	7.2
